device_id	application_name
6b6e863d-b297-4ff3-b2c7-516a583047ac	AWARE
6b6e863d-b297-4ff3-b2c7-516a583047ac	Android系统
6b6e863d-b297-4ff3-b2c7-516a583047ac	启动器
6b6e863d-b297-4ff3-b2c7-516a583047ac	设置
6b6e863d-b297-4ff3-b2c7-516a583047ac	QQ轻聊版
6b6e863d-b297-4ff3-b2c7-516a583047ac	文件管理
6b6e863d-b297-4ff3-b2c7-516a583047ac	系统界面
6b6e863d-b297-4ff3-b2c7-516a583047ac	360浏览器
6b6e863d-b297-4ff3-b2c7-516a583047ac	微信
6b6e863d-b297-4ff3-b2c7-516a583047ac	计算器
6b6e863d-b297-4ff3-b2c7-516a583047ac	信息
6b6e863d-b297-4ff3-b2c7-516a583047ac	掌阅iReader
6b6e863d-b297-4ff3-b2c7-516a583047ac	咪咕阅读
6b6e863d-b297-4ff3-b2c7-516a583047ac	WLAN
6b6e863d-b297-4ff3-b2c7-516a583047ac	CaptivePortalLogin
6b6e863d-b297-4ff3-b2c7-516a583047ac	通话界面
6b6e863d-b297-4ff3-b2c7-516a583047ac	?360卫士
6b6e863d-b297-4ff3-b2c7-516a583047ac	支付宝
6b6e863d-b297-4ff3-b2c7-516a583047ac	记事本
