device_id	application_name
74079271-e947-4b7a-947e-c1d89045ac33	AWARE
74079271-e947-4b7a-947e-c1d89045ac33	华为桌面
74079271-e947-4b7a-947e-c1d89045ac33	设置
74079271-e947-4b7a-947e-c1d89045ac33	文件管理
74079271-e947-4b7a-947e-c1d89045ac33	系统用户界面
74079271-e947-4b7a-947e-c1d89045ac33	手机找回
74079271-e947-4b7a-947e-c1d89045ac33	Android HwResolver
74079271-e947-4b7a-947e-c1d89045ac33	QQ
74079271-e947-4b7a-947e-c1d89045ac33	猎豹清理大师
74079271-e947-4b7a-947e-c1d89045ac33	手机管家
74079271-e947-4b7a-947e-c1d89045ac33	微信
74079271-e947-4b7a-947e-c1d89045ac33	
74079271-e947-4b7a-947e-c1d89045ac33	天气
74079271-e947-4b7a-947e-c1d89045ac33	华为帐号
