device_id	application_name
7cdca936-0239-4e2f-8077-b19c8af13891	AWARE
7cdca936-0239-4e2f-8077-b19c8af13891	华为桌面
7cdca936-0239-4e2f-8077-b19c8af13891	Android 系统
7cdca936-0239-4e2f-8077-b19c8af13891	系统用户界面
7cdca936-0239-4e2f-8077-b19c8af13891	设置
7cdca936-0239-4e2f-8077-b19c8af13891	文件管理
7cdca936-0239-4e2f-8077-b19c8af13891	微信
7cdca936-0239-4e2f-8077-b19c8af13891	图库
7cdca936-0239-4e2f-8077-b19c8af13891	QQ
7cdca936-0239-4e2f-8077-b19c8af13891	支付宝
7cdca936-0239-4e2f-8077-b19c8af13891	微博
7cdca936-0239-4e2f-8077-b19c8af13891	时钟
7cdca936-0239-4e2f-8077-b19c8af13891	UC浏览器
7cdca936-0239-4e2f-8077-b19c8af13891	高德地图
