device_id	application_name
c945037c-ed40-4835-b5d9-c339d9e0c7c2	AWARE
c945037c-ed40-4835-b5d9-c339d9e0c7c2	Android系统
c945037c-ed40-4835-b5d9-c339d9e0c7c2	待机桌面
c945037c-ed40-4835-b5d9-c339d9e0c7c2	文件管理
c945037c-ed40-4835-b5d9-c339d9e0c7c2	设置
c945037c-ed40-4835-b5d9-c339d9e0c7c2	系统界面
c945037c-ed40-4835-b5d9-c339d9e0c7c2	QQ
c945037c-ed40-4835-b5d9-c339d9e0c7c2	QQ浏览器
c945037c-ed40-4835-b5d9-c339d9e0c7c2	应用商店
c945037c-ed40-4835-b5d9-c339d9e0c7c2	便签
c945037c-ed40-4835-b5d9-c339d9e0c7c2	i 管家
c945037c-ed40-4835-b5d9-c339d9e0c7c2	应用包安装程序
c945037c-ed40-4835-b5d9-c339d9e0c7c2	省电管理
c945037c-ed40-4835-b5d9-c339d9e0c7c2	高耗电管理
c945037c-ed40-4835-b5d9-c339d9e0c7c2	售后服务
c945037c-ed40-4835-b5d9-c339d9e0c7c2	微信
c945037c-ed40-4835-b5d9-c339d9e0c7c2	计算器
c945037c-ed40-4835-b5d9-c339d9e0c7c2	钢琴块2
c945037c-ed40-4835-b5d9-c339d9e0c7c2	收音机
c945037c-ed40-4835-b5d9-c339d9e0c7c2	联系人
c945037c-ed40-4835-b5d9-c339d9e0c7c2	InCallUI
c945037c-ed40-4835-b5d9-c339d9e0c7c2	迅雷
c945037c-ed40-4835-b5d9-c339d9e0c7c2	里奥的财富
c945037c-ed40-4835-b5d9-c339d9e0c7c2	vivoice
c945037c-ed40-4835-b5d9-c339d9e0c7c2	i 音乐
c945037c-ed40-4835-b5d9-c339d9e0c7c2	系统升级
c945037c-ed40-4835-b5d9-c339d9e0c7c2	豆瓣
c945037c-ed40-4835-b5d9-c339d9e0c7c2	信息
c945037c-ed40-4835-b5d9-c339d9e0c7c2	闹钟时钟
c945037c-ed40-4835-b5d9-c339d9e0c7c2	蜻蜓FM
c945037c-ed40-4835-b5d9-c339d9e0c7c2	网易有道词典
c945037c-ed40-4835-b5d9-c339d9e0c7c2	百词斩
c945037c-ed40-4835-b5d9-c339d9e0c7c2	百度云
c945037c-ed40-4835-b5d9-c339d9e0c7c2	浏览器
c945037c-ed40-4835-b5d9-c339d9e0c7c2	洗e洗
c945037c-ed40-4835-b5d9-c339d9e0c7c2	支付宝
c945037c-ed40-4835-b5d9-c339d9e0c7c2	相机
c945037c-ed40-4835-b5d9-c339d9e0c7c2	南方周末
c945037c-ed40-4835-b5d9-c339d9e0c7c2	电子书
c945037c-ed40-4835-b5d9-c339d9e0c7c2	日历
c945037c-ed40-4835-b5d9-c339d9e0c7c2	相册
c945037c-ed40-4835-b5d9-c339d9e0c7c2	酷我音乐-中国新歌声
c945037c-ed40-4835-b5d9-c339d9e0c7c2	课程格子
c945037c-ed40-4835-b5d9-c339d9e0c7c2	WLAN
