device_id	application_name
da4f21e1-6a62-4f68-90a7-0a1c02a320c3	AWARE
da4f21e1-6a62-4f68-90a7-0a1c02a320c3	Android系统
da4f21e1-6a62-4f68-90a7-0a1c02a320c3	待机桌面
da4f21e1-6a62-4f68-90a7-0a1c02a320c3	设置
da4f21e1-6a62-4f68-90a7-0a1c02a320c3	系统界面
da4f21e1-6a62-4f68-90a7-0a1c02a320c3	超级截屏
da4f21e1-6a62-4f68-90a7-0a1c02a320c3	QQ
da4f21e1-6a62-4f68-90a7-0a1c02a320c3	文件管理
da4f21e1-6a62-4f68-90a7-0a1c02a320c3	微信
da4f21e1-6a62-4f68-90a7-0a1c02a320c3	助手版贴吧
da4f21e1-6a62-4f68-90a7-0a1c02a320c3	相机
da4f21e1-6a62-4f68-90a7-0a1c02a320c3	手机淘宝
da4f21e1-6a62-4f68-90a7-0a1c02a320c3	微博
da4f21e1-6a62-4f68-90a7-0a1c02a320c3	日历
da4f21e1-6a62-4f68-90a7-0a1c02a320c3	浏览器
